"p_index","name","college","country","draft_year"
1,"A.C. Green","Oregon State","USA","1985"
2,"A.J. Bramlett","Arizona","USA","1999"
3,"A.J. Guyton","Indiana","USA","2000"
4,"A.J. Lawson","South Carolina","Canada","Undrafted"
5,"Aaron Brooks","Oregon","USA","2007"
6,"Aaron Gordon","Arizona","USA","2014"
7,"Aaron Gray","Pittsburgh","USA","2007"
8,"Aaron Harrison","Kentucky","USA","Undrafted"
9,"Aaron Henry","Michigan State","USA","Undrafted"
10,"Aaron Holiday","UCLA","USA","2018"
11,"Aaron Jackson","None","USA","Undrafted"
12,"Aaron McKie","Temple","USA","1994"
13,"Aaron Miles","Kansas","USA","Undrafted"
14,"Aaron Nesmith","Vanderbilt","USA","2020"
15,"Aaron Wiggins","Maryland","USA","2021"
16,"Aaron Williams","Xavier","USA","Undrafted"
17,"Abdel Nader","Iowa State","Egypt","2016"
18,"Acie Earl","Iowa","USA","1993"
19,"Acie Law","Texas A&M","USA","2007"
20,"Adam Harrington","Auburn","USA","Undrafted"
21,"Adam Keefe","Stanford","USA","1992"
22,"Adam Mokoka","None","France","Undrafted"
23,"Adam Morrison","Gonzaga","USA","2006"
24,"Ade Murkey","Denver","USA","Undrafted"
25,"Admiral Schofield","Tennessee","United Kingdom","2019"
26,"Adonal Foyle","Colgate","St. Vincent & Grenadines","1997"
27,"Adonis Jordan","Kansas","USA","1993"
28,"Adonis Thomas","Memphis","USA","Undrafted"
29,"Adreian Payne","Michigan State","USA","2014"
30,"Adrian Caldwell","Lamar","USA","Undrafted"
31,"Adrian Griffin","Seton Hall","USA","Undrafted"
32,"Ahmad Caver","Old Dominion","USA","2019"
33,"AJ Green","Northern Iowa","USA","Undrafted"
34,"AJ Griffin","Duke","USA","2022"
35,"AJ Hammons","Purdue","USA","2016"
36,"AJ Price","Connecticut","USA","2009"
37,"Al-Farouq Aminu","Wake Forest","USA","2010"
38,"Al Harrington","None","USA","1998"
39,"Al Horford","Florida","Dominican Republic","2007"
40,"Al Jefferson","None","USA","2004"
41,"Al Thornton","Florida State","USA","2007"
42,"Alan Anderson","Michigan State","USA","Undrafted"
43,"Alan Henderson","Indiana","USA","1995"
44,"Alan Williams","California-Santa Barbara","USA","Undrafted"
45,"Alando Tucker","Wisconsin","USA","2007"
46,"Alec Burks","Colorado","USA","2011"
