"p_index","years","ppg","rpg","apg","bpg","sgp"
1,5,"5.858047493403693","6.188126649076517","0.8902374670184696","1.9849604221635884","1.9485224274406332"
2,1,"1","2.8","0","1.71","0.74"
3,3,"5.5125","1.01625","1.8212499999999998","1.52075","1.7778749999999999"
4,1,"3.7","1.4","0.1","0.22","1.73"
5,10,"9.711162790697674","1.6702325581395348","2.9812403100775198","1.4289302325581394","1.4549612403100776"
6,9,"13.411073825503356","6.331040268456376","2.537919463087248","1.7255033557046981","1.6054362416107384"
7,5,"3.4024489795918367","3.730204081632653","0.7048979591836734","2.338897959183673","1.2188571428571426"
8,3,"2.2914285714285714","1.2","0.45428571428571424","2.1388571428571423","1.6974285714285713"
9,1,"0.3","0.20000000000000004","0","1.22","2.98"
10,4,"7.322857142857142","1.750612244897959","2.3918367346938774","1.768938775510204","1.4135102040816325"
11,1,"8","3","1","0.84","2.04"
12,11,"7.069715142428786","3.2431784107946022","2.7473763118440777","1.2141379310344829","1.1226536731634182"
13,1,"0.8","0.7","1.3","2.75","0.5"
14,3,"6.731578947368421","2.8923976608187134","0.811111111111111","1.057953216374269","2.379005847953217"
15,2,"7.425","3.25","1.225","1.415833333333333","0.7033333333333334"
16,9,"6.320147874306839","4.257301293900184","0.7957486136783734","1.401977818853974","1.7448613678373384"
17,5,"4.598514851485149","1.8608910891089108","0.5297029702970297","0.9552970297029701","1.4759900990099006"
18,1,"4","2","0.4","1.81","1.8000000000000003"
19,2,"4.233766233766234","1.031168831168831","1.3974025974025974","0.9822077922077922","1.058831168831169"
20,1,"1.6","0.4","0.6","2.51","3"
21,5,"4.252380952380952","3.6250793650793645","0.6663492063492064","1.724793650793651","1.4700952380952381"
22,2,"1.892","0.62","0.4","2.052","1.2691999999999999"
23,3,"7.470807453416151","2.0819875776397514","1.391304347826087","0.8188819875776397","2.2483850931677014"
24,1,"0","0","0","2.08","0.22"
25,3,"3.6925925925925926","1.8194444444444444","0.673148148148148","2.2351851851851854","2.1457407407407407"
26,12,"4.075170532060028","4.7221009549795365","0.47230559345156886","1.5254297407912687","1.7449658935879944"
27,1,"1.5","0","0.8","0.42","2.1"
28,1,"2.3","0.5","0.5","1.8999999999999997","2.2"
29,4,"4.003738317757009","2.9327102803738314","0.6280373831775701","1.5011214953271028","1.1707476635514018"
30,2,"2.1521739130434785","3.619565217391304","0.29347826086956524","2.1023913043478264","0.43282608695652175"
31,8,"4.197737556561086","3.2934389140271496","1.4183257918552035","1.5649095022624433","1.1588687782805427"
32,1,"2","0","0","1.28","0.23"
33,1,"4.4","1.3","0.6","0.72","2.26"
35,1,"2.2","1.6","0.2","2.04","2.19"
36,6,"5.830268199233716","1.4467432950191572","2.18544061302682","1.4954789272030653","1.99088122605364"
37,9,"7.720210896309314","5.947275922671353","1.2381370826010543","0.8175571177504395","1.4965202108963094"
38,14,"12.71466030989273","5.355423122765196","1.43492252681764","1.257580452920143","1.6233849821215733"
39,7,"12.233793103448278","6.933103448275863","4.0248275862068965","1.0411954022988505","1.6000459770114945"
40,14,"15.659234972677597","8.409071038251366","1.4646994535519127","1.4027431693989076","1.3865573770491801"
